Municipality,Settlement,ID,Facility Type,Facility Name,Neighborhood,Street,House Number,X Cord,Y Cord,Building Amount,Owner,Operator,Contact Phone,Contact eMail,Seat amount,Availability,Fencing Available,Lighting Available,Accessibility,Parking Available,Facility Condition,Competition Standard,Official Competition Use,Year Built,School Served,Availability Category,Fencing Available Numeric,Lighting Available Numeric,Facility Condition Numeric,Facility Age
אום אל-פחם,,154B2103801,מגרש ספורט משולב – 43X32 מ',מגרש ואדי אלנוסור,ואדי אלנוסור,,,214804.0,712827.0,1.0,אום אל-פחם,עיריית אום אל פחם,046310483,sport.uef@gmail.com,150.0,פתוח ללא הגבלה,כן,כן,כן,לא,פעיל וזקוק לשיפוץ,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1994.0,ואדי אלנוסור,Very High,1,1,3.0,31.0
אום אל-פחם,,154A1107796,מכון לכושר גופני,"קאנטרי קלאב ""אלואחה""",אלדהר,,,214987.0,715509.0,1.0,,יזם פרטי,04-6113344,,,כניסה בתשלום במקום,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2004.0,,,1,1,4.0,21.0
אום אל-פחם,,154B3103491,מגרש ספורט במידות אחרות – לא תקני,מגרש אחווה,,,,213157.0,713443.0,,אום אל-פחם,עיריית אום אל-פחם,046310483,sport.uef@gmail.com,150.0,פתוח ללא הגבלה,כן,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,לא רלוונטי,1988.0,אחווה,Very High,1,0,4.0,37.0
אום אל-פחם,,154B3103546,מגרש ספורט במידות אחרות – לא תקני,מגרש אלתסאמוח,,,,213009.0,713459.0,,אום אל-פחם,עיריית אום אל-פחם,046310483,sport.uef@gmail.com,150.0,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,לא רלוונטי,2005.0,,Very High,1,1,4.0,20.0
אופקים,,004G3408474,אולם ספורט בינוני – 32x19 מ',אולם ספורט,הרצל,Israel,,162513.0,580750.0,,אופקים,עיריית אופקים,506770813,elaetah@gmail.com,30000.0,מבוקר ועד לילה,לא,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",ליגת על,2019.0,כן,High,0,1,4.0,6.0
אופקים,,004F5408475,"אצטדיון/מסלול אתלטיקה קלה – 6-4 מסלולים, 250 או 300 מ'",מגרש אתלטיקה,,Israel,,163929.0,580142.0,,אופקים,עיריית אופקים,506770813,elaetah@gmail.com,30000.0,מבוקר ועד לילה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2019.0,כן,High,1,1,4.0,6.0
אופקים,,004M1308476,מגרש שחבק דשא סינטטי,מגרש שחבק,,Israel,,163276.0,580480.0,,אופקים,עיריית אופקים,506770813,elaetah@gmail.com,30000.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",לא רלוונטי,2016.0,כן,Low,1,1,4.0,9.0
אופקים,,004R1105697,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מגרש קט רגל 2000מ',יעקוב מסיקה 6,חורי,,163000.0,580800.0,1.0,אופקים,"עיריית אופקים-מתנ""ס",050-6770813,elaetah@gmail.com,,פתוח ללא הגבלה,לא,לא,לא,כן,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2000.0,אשלים,Very High,0,0,1.0,25.0
אופקים,,004F4101299,"אצטדיון/מסלול אתלטיקה קלה – תקני 8 מסלולים, 400 מ'",איצטדיון,שפירה,הרב דוד בוזגלו 2,,164700.0,579400.0,1.0,אופקים,"עיריית אופקים-מתנ""ס",08-9926605,opakim@matnasim.org,500.0,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,1980.0,"בתי ספר תיכוניים, עמ""ל ואולפנה",Very High,1,1,4.0,45.0
אופקים,,004B1104674,מגרש כדורסל – 19X32 מ',מגרש כדורסל פתוח בית ספרי בן-גוריון,קריית מנחם,המייסדים 5,,163200.0,579600.0,1.0,אופקים,עיריית אופקים,050-6770813,ela_rviv@walla.com,,בוקר בלבד,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2008.0,,Medium,1,1,4.0,17.0
אופקים,,004B1104670,מגרש כדורסל – 19X32 מ',מגרש כדורסל פתוח בית ספרי אביר יעקוב,קריית מנחם,המייסדים 1,,163200.0,579600.0,1.0,אופקים,עיריית אופקים,050-6770813,ela_rviv@walla.com,,בוקר בלבד,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2008.0,,Medium,1,1,4.0,17.0
אופקים,,004B1104468,מגרש כדורסל – 19X32 מ',מגרש כדורסל 500 מ',מישור הגפן,האורן 18,,163200.0,579900.0,1.0,אופקים,"עיריית אופקים-מתנ""ס",050-6770813,,,פתוח ללא הגבלה,כן,לא,לא,כן,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1996.0,,Very High,1,0,1.0,29.0
אופקים,,004G4100761,אולם ספורט גדול - 45X24 מ',אולם ספורט,הרצל 72,,,163700.0,579500.0,1.0,אופקים,"עיריית אופקים-מתנ""ס",050-6770813,,700.0,פתוח ללא הגבלה,כן,לא,לא,כן,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1972.0,הדסים,Very High,1,0,1.0,53.0
אופקים,,004G4100906,אולם ספורט גדול - 45X24 מ',אולם ספורט בית ספרי אשלים 400 מ',הנשיא,,,163500.0,581100.0,1.0,אופקים,עיריית אופקים,050-6770813,ela_rviv@walla.com,,בוקר בלבד,כן,כן,לא,כן,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1985.0,,Medium,1,1,1.0,40.0
אופקים,,004G4100907,אולם ספורט גדול - 45X24 מ',אולם ספורט בית ספרי הדסים 400 מ',עמרם בין דויד,,,164100.0,579600.0,1.0,אופקים,עיריית אופקים,050-6770813,ela_rviv@walla.com,,בוקר בלבד,כן,כן,לא,כן,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1975.0,,Medium,1,1,1.0,50.0
אופקים,,004G4100908,אולם ספורט גדול - 45X24 מ',אולם ספורט בית ספרי שושנים 400מ',עמרם בין דויד,,,164100.0,579600.0,1.0,אופקים,עיריית אופקים,050-6770813,ela_rviv@walla.com,,בוקר בלבד,כן,כן,לא,כן,פעיל וזקוק לשיפוץ,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1975.0,,Medium,1,1,3.0,50.0
אופקים,,004G4100784,אולם ספורט גדול - 45X24 מ',אולם ספורט,גולומב 11,,,163700.0,580350.0,1.0,אופקים,"עיריית אופקים-מתנ""ס",050-6770813,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2000.0,הגבעה,Very High,1,1,4.0,25.0
אופקים,,004R1107636,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),פארק מוטורי,החידה 18,,,164200.0,579800.0,1.0,אופקים,"ביה""ס הדסים",08-9921112,,,פתוח ללא הגבלה,כן,לא,לא,כן,פעיל וזקוק לשיפוץ,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1992.0,,Very High,1,0,3.0,33.0
אופקים,,004R1104910,אחר: מתקן ספורט (לציין בשם המתקן את סוג המתקן),מגרש מיני כדורגל,הרצל 72,,,163700.0,579500.0,1.0,אופקים,"מתנ""ס",08-9926605,ela_rviv@walla.com,,פתוח ללא הגבלה,כן,לא,לא,כן,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1997.0,,Very High,1,0,1.0,28.0
אופקים,,004P1102108,בריכת שחיה - 25X12.5 מ',בריכה 400מ' אמבטיה 35 מ',יעקוב מסיקה 6,,,163200.0,580800.0,1.0,אופקים,עיריית אופקים,050-6770813,ela_rviv@walla.com,,כניסה בתשלום במקום,כן,כן,לא,כן,לא תקין ולא פעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,1965.0,,,1,1,1.0,60.0
אופקים,,004T1106613,מגרש טניס,מרכז הטניס,הרצל 74,,,163600.0,579500.0,1.0,אופקים,מרכז הטניס הארצי,08-9926301,,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,,,Very High,1,1,4.0,
אופקים,,004B1104351,מגרש כדורסל – 19X32 מ',מגרש כדורסל,אבוחצירה 30,,,163500.0,580500.0,1.0,אופקים,"עיריית אופקים-מתנ""ס",08-9928537,,,פתוח ללא הגבלה,לא,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,2002.0,,Very High,0,0,4.0,23.0
אופקים,,004B1104353,מגרש כדורסל – 19X32 מ',מגרש כדורסל,קרית ספר3,,,164400.0,579000.0,1.0,אופקים,"עיריית אופקים-מתנ""ס",050-8258004,draim@walla.com,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,2007.0,,Very High,1,1,4.0,18.0
אופקים,,004B1104352,מגרש כדורסל – 19X32 מ',מגרש כדורסל,בוזגלו 29,,,164500.0,579900.0,1.0,אופקים,"עיריית אופקים-מתנ""ס",050-8258004,draim@walla.com,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2007.0,,Very High,1,1,4.0,18.0
אופקים,,004B1104354,מגרש כדורסל – 19X32 מ',מגרש כדורסל,הרצל 93,,,163800.0,579500.0,1.0,אופקים,"עיריית אופקים-מתנ""ס",050-825004,draim@walla.com,,פתוח ללא הגבלה,כן,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2007.0,"אביר יעקב, בן גוריון",Very High,1,1,4.0,18.0
אופקים,,004B1104355,מגרש כדורסל – 19X32 מ',מגרש כדורסל,"צ""הל",,,163700.0,580100.0,1.0,אופקים,"עיריית אופקים-מתנ""ס",050-8258004,draim@walla.com,,פתוח ללא הגבלה,כן,כן,לא,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",,2007.0,,Very High,1,1,4.0,18.0
אופקים,,004M1107813,מגרש מיני פיץ',קט רגל,קבוץ גלויות,אשלים,11,163300.0,581000.0,1.0,אופקים,בית ספר אשלים,050-6770813,,,פתוח ללא הגבלה,כן,לא,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,2003.0,,Very High,1,0,4.0,22.0
אופקים,,004A1102991,מכון לכושר גופני,חדר כושר 300 מ',כצנלסון,,,163700.0,580350.0,1.0,אופקים,עיריית אופקים,050-6770813,ela_rviv@walla.com,,כניסה בתשלום במקום,כן,כן,לא,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,1985.0,,,1,1,4.0,40.0
אופקים,,004A2106345,מתקן פתוח לכושר גופני,"מכשירי כושר שצ""פ שפירא",שפירא,שמואל הרואה,5,164424.0,578987.0,,אופקים,עיריית אופקים,089960251,elaetah@gmail.com,,פתוח ללא הגבלה,לא,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,לא רלוונטי,2017.0,כן,Very High,0,0,4.0,8.0
אופקים,,004A2103340,מתקן פתוח לכושר גופני,כושר,הטייסים,הטייסים,,164577.0,579267.0,,אופקים,עיריית אופקים,089960251,elaetah@gmail.com,,פתוח ללא הגבלה,לא,לא,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,לא רלוונטי,2017.0,כן,Very High,0,0,4.0,8.0
אור יהודה,,138K1108532,מגרש שחבק דשא סינטטי,מגרש שחבק,,,,187347.0,659888.0,,אור יהודה,עיריית אור יהודה,,,,פתוח ללא הגבלה,לא,כן,כן,כן,תקין ופעיל,,,2019.0,,Very High,0,1,4.0,6.0
אור יהודה,,138G2101172,אולם ספורט קטן – 15x24 מ',אולם שיזף,נווה סביון,שיזף,3,186634.0,660017.0,,אור יהודה,"מרכז קהילתי ע""ש פירסט ופרלמן בע""מ",03-5331808,sport@my-or.org.il,250.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,שיזף,Low,1,1,4.0,
אור יהודה,,138G4102754,אולם ספורט גדול - 45X24 מ',היכל הספורט,מרכז,רחוב מנחם בגין,81,186502.0,659351.0,1.0,אור יהודה,"מרכז קהילתי ע""ש פירסט ופרלמן בע""מ",03-7353565,sport@my-or.org.il,750.0,בתיאום בלבד,כן,כן,כן,כן,תקין ופעיל,"תקני וכולל שירותים, מקלחות וחדר שופטים",מתקיימות במתקן תחרויות רשמיות,,"חט""ב ארזים והפרדס",Low,1,1,4.0,
אור יהודה,,138B2107255,מגרש ספורט משולב – 43X32 מ',נווה רבין,נוה רבין,צפריר,,188070.0,659060.0,,אור יהודה,"מרכז קהילתי ע""ש פירסט ופרלמן בע""מ",03-7353565,sport@my-or.org.il,1000.0,פתוח ללא הגבלה,לא,כן,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,,,Very High,0,1,4.0,
אור יהודה,,138A2107126,מתקן פתוח לכושר גופני,מתקני כושר בפארק,נוה רבין,צפריר,,188070.0,659060.0,,אור יהודה,"מרכז קהילתי ע""ש פירסט ופרלמן בע""מ",03-7353565,sport@my-or.org.il,,פתוח ללא הגבלה,לא,כן,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,0,1,4.0,
אור יהודה,,138S1104784,מגרש חול קבוע לכדורעף או לקטרגל או לכדוריד חופים,מגרש כדורעף חופים,גיורא,פארק קנדה,,186910.0,660050.0,,אור יהודה,"מרכז קהילתי ע""ש פירסט ופרלמן בע""מ",03-7353565,sport@my-or.org.il,,פתוח ללא הגבלה,לא,לא,כן,כן,תקין ופעיל,"תקני במידות אך ללא שירותים, מקלחות וחדר שופטים",אינו משמש לתחרויות רשמיות,,פרקאוף,Very High,0,0,4.0,
אור יהודה,,138F2105669,מגרש כדורגל - לא תקני,מגרש קט רגל,גיורא,פארק קנדה,,186830.0,660060.0,,אור יהודה,"מרכז קהילתי ע""ש פירסט ופרלמן בע""מ",03-7353565,sport@my-or.org.il,,פתוח ללא הגבלה,כן,לא,לא,כן,תקין ופעיל,המתקן אינו עומד במידות התקניות לתחרויות,אינו משמש לתחרויות רשמיות,,,Very High,1,0,4.0,
